Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Haleyville Friendship Multi-Purpose Senior Center,2324 14th Avenue Suite BHaleyville AL 35565,(205) 486-9042,Beverly Donaldson,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Hamilton Multi-Purpose Senior Center,371 Seventh Avenue SouthwestHamilton AL 35570,(205) 921-2977,,NOMAIL,http://www.hamiltoncityal.org/,,,,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Colony Senior Center,12980 AL Highway 91Hanceville AL 35077,(256) 287-1491,Parish Fitts,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Dodge City Senior Center,80 Howard CircleHanceville AL 35077,(256) 287-0364,Ann Rice,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Covered-Dish; Games; Information; Rook; Dominoes; Wii Bowling,,Tues: 8:00 am - 1:00 pm
Hanceville Senior Center,1500 Spruce St SEHanceville AL 35077,(256) 352-4733,Evon Thompson,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Harpersville - Young and Restless Seniors,38937 Highway 25Harpersville AL 35078,,,NOMAIL,"data-table",,,,,
Hartford Senior Center,301 South 3rd AvenueHartford AL 36344,(334) 588-3115,Wanda Dorriety,hartfordsc@centurytel.net,http://www.cityofhartfordal.org/,The Hartford Senior Center serves 26 congregate meals a day. We deliver 14 homebound meals a day to individuals that are eligible. There are certain criteria that must be met in order for the Senior Center to deliver meals. Please feel free to call if you have questions concerning these meals. Meals are served at 11:30 AM.,,Congregate Meals &amp; Home Delivered Meals; Transportation; Health Promotion; Recreational Activities: Wii video games Bingo Dominoes Arts &amp; Craft projects Holiday Parties Older Americans Day sponsored by SARCOA Dinner trips Local and out of town trips for special events Computer Class,60+ years,Mon - Fri: 7:30 am - 3:00 pm
Hartselle Senior Center,406 Nance Ford RoadHartselle AL 35640,(256) 773-0786,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Neel Senior Center,6950 Danville RoadHartselle AL 35640,(256) 773-3242,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Hayneville Multipurpose Senior Center,215 Tuskeena StreetHayneville AL 36040,(334) 548-2112,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
New Sharon Senior Center,775 Butter &amp; Egg RoadHazel Green AL 35750,(256) 828-3215,Faye Baran,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,
Headland Senior Center,107 Boynton StHeadland AL 36345,(334) 693-5070,Gail DeFee,headlandseniorcenter@gmail.com,https://www.headlandalabama.org/,,,Hot Meals; Home Delivered Meals; Transportation; Exercise Classes; Cards; Dominoes; Bingo; Field Trips; Valentine Banquet; Thanksgiving &amp; Christmas Luncheons,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Heflin Senior Center,1228 Coleman StreetHeflin AL 36264,(256) 463-5434,,NOMAIL,https://www.cityofheflin.org/,The City of Heflin Senior Center is located at 1228 Coleman Street at the Heflin Recreation Center on the second floor. Seniors meet Monday through Friday from 9AM – Noon. Various activities are offered along with health-related information. Meals are served from Monday through Friday.,,Bingo; Card; Board Games; Meals,,Mon - Fri: 9:00 am - 12:00 pm
Helena Senior Center,222 Tucker RdHelena AL 35080,(205) 871-3553,Bill May,NOMAIL,"data-table",,,,,
Hobson City Senior Center,610 MLK DriveHobson City AL 36201,(256) 831-7069,,NOMAIL,http://www.townofhobsoncity.com/,The Hobson City Senior Center aims to enrich the lives of seniors in Hobson City Alabama and surrounding areas. The center offers programs to area seniors that consist of daily activities to help improve the quality of life for older adults. The Senior Center is located adjacent to the library. Throughout the year seniors engage in fun activities and exercise fun. On occasion the seniors attend field trips to as a form of travel. Most programming is FREE unless otherwise indicated. Field trips and certain programs may require a minimum fee or request that participants provide their own materials.,,Computer Classes; Arts and Craft Classes; Field Trips; Games; Cards etc.,,
Hokes Bluff Senior Center,5981 Gilliland StreetHokes Bluff AL 35903,(256) 492-2511,Hanna Brown,NOMAIL,"data-table",,,,,
Holly Pond Senior Center,221 Lions Park RdHolly Pond AL 35083,(256) 796-2131,Linda Pruett,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Homewood Senior Center,816 Oak Grove RoadHomewood AL 35209,(205) 332-6500,Aimee Thornton,aimee.thornton@homewoodal.org,http://www.homewoodparks.com,The Homewood Senior Center offers a variety of programs facilities and services to our Senior population. Some of the amenities available at the Center include a fitness room lunch program computer lab kitchen arts &amp; crafts room game room and much more. Programs include dance classes board games arts &amp; crafts entertaining performances and exercise classes. Educational programs include weekly computer coaching and periodic lectures/presentations on history finances safe driving health and writing.,Homewood Residents: $25 - 1st household member / $17 - per additional household member; Non-Residents: $50 - 1st household member / $34 - per additional household member. Membership is valid for 1 year from the date of purchase. Senior Center Only memberships include: All amenities &amp; member services at the Homewood Senior Center,Lunch Program Dance Classes; Board Games; Arts &amp; Crafts; Entertaining Performances and Exercise Classes; Educational Programs include weekly computer coaching and periodic lectures/presentations on history finances safe driving health and writing,55+ years,Mon - Thurs: 6:30 am - 7:30 pm; Fri: 6:30 am - 5:00 pm; Saturday: 10:00 am - 5:00 pm
Honoraville Senior Center,111 Post Office LoopHonoraville AL 36043,(334) 382-6449,,honoravilleseniorcenter@gmail.com,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 1:30 pm
Hoover Senior Center,400 Municipal DriveHoover AL 35216,(205) 739-6700,Dana Stewart,hooverseniorcenter@ci.hoover.al.us,http://hooveralabama.gov/,The Hoover Senior Center exists as a partnership to serve and empower senior adults by providing opportunities that promote quality of life through social engagement physical well-being community involvement creativity and life-long learning.,Membership: Available to Hoover residents age 55 and older. A valid photo id and proof of residency is required (current utility bill accepted). Annual membership fee is $10 per person. This membership provides access to the Senior Center and the Hoover Recreation Center Indoor Track. Some additional fees may apply for special activities.,Meal Program; Bridge; Exercise; Canasta; Chair Yoga; BP Checks; Diabetes Class; Zumba Gold; Continuing Yoga; Classic Yoga; Chess Group; Poker; Chess Class; Tech Workshop; Ballroom Dancing; Wood Carving; Pilates; Line Dancing; Book Club; Canasta; Jewelry Workshop; Tai Chi; Mexican Train; Bingo; Watercolor; Crochet; Pokeno,55+ years,Mon - Fri: 8:00 am - 4:00 pm
Seniors Over Sixty Senior Center,15078 US Hwy 31Hope Hull AL 36043,(334) 281-6020,,NOMAIL,"data-table",,,,,
Douglas Senior Center,335 Stadium CirHorton AL 35980,(256) 840-1440,Joyce Lambert,NOMAIL,http://www.douglasal.com/,We enjoy each other's company. We have a variety of activities to enjoy. We eat lunch together. We go on fun trips!!! Why not join us?,,Information Legal Assistance Job Opportunities Exercising Nutritious Noon Meal etc.,60+ years,
Huntsville-Madison County Senior Center,2200 Drake AveHuntsville AL 35805,(256) 880-7080,Tom N. Glynn,tglynn@seniorview.com,http://www.seniorview.com,Our Senior Center is distinct in the services and programs it offers. We provide a wide variety of programs and activities geared to the interests of our active and productive seniors. Each week we have over forty different creative skills classes four different dance classes two different exercise groups creative writing computer skills duplicate and party bridge and other card games billiards music classes chorus orchestra health screenings and health related programs and much more. We also provide a variety of services for those much less active seniors who are confined on a limited or permanent basis to their homes. Meals on Wheels limited homemaker services case management and information and referral all fall into this category. Research tells us that these services help to keep people in their own homes for a longer period of time and saves millions of dollars in nursing home expenses. In the area of nutrition in addition to our Meals on Wheels program the Senior Center itself is one of the six nutrition centers in Madison County which provides a hot meal each day Monday through Friday at a cost to the seniors dictated by income. There are also some forty satellite groups associated with the Senior Center throughout Madison County to provide additional activities and camaraderie for hundreds of seniors. Our Senior Center is considered one of the top centers in the United States.,There is no membership fee.,Recreation: Table Games Trips And Dances Sporting Events Line Dancing Performing Arts; Creative Skills: Ceramics Woodworking Painting Sewing and Needlework; Health: Exercises Screenings Education and Stress Management; Education: History Languages Writing Genealogy and Computers; Transportation; Retired and Senior Volunteer Program; Meals On Wheels; Nutrition Centers; Adult Day Health Care; Homemaker Services,60+ years,Mon - Thurs: 7:30 am - 4:30 pm; Fri: 7:30 am - 12:00 pm
Hurtsboro Senior Center,733 Railroad StreetHurtsboro AL 36860,(334) 667-7577,Virginia Smith,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Ider Senior Center,1852 Dogwood DriveIder AL 35981,(256) 632-3367,Jenny Mann,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,
Irondale Senior Activity Center,5313 Beacon DriveIrondale AL 35210,(205) 951-1418,Susan Clark,seniorcenter@cityofirondaleal.gov,https://cityofirondaleal.gov/,The Irondale Senior Activity Center is truly a place “Where friends meet greet and eat in a warm and caring atmosphere.” Our modern facility and amenities offer a great place many Irondale citizens use for; meetings parties and other events,,Arts &amp; Crafts; Transportation &amp; Trips; Knitting; Ceramics; Bingo; Meals; Bible Study; Bridge; Art Instruction; Table Games; Education Programs; Men’s Coffee Club; Bunco; Dominoes; Exercise,55+ years,Mon - Fri: 8:00 am - 2:00 pm
Zion Chapel Senior Center,28742 Highway 87Jack AL 36346,(334) 897-1500,Pat Hodge,phodge@co.coffee.al.us,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Bingo; Cards; Board Games; Field Trips; Covered Dish Dinners; Fundraisers,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Jackson Senior Center,1701 College AvenueJackson AL 36545,(251) 247-1300,,NOMAIL,http://www.cityofjacksonal.com/,Our goal is to get our Senior citizens out of their houses and spending time with others. It has been proven that people who get out and see other people stay healthier. Those who do not leave their homes see fewer people and are more prone to depression and sickness. We try to have programs that interest our seniors such as information on health Medicare legal needs programs that are fun recreational and spiritual. We hope our friends will share with their friends and spread the good word about the Jackson Senior Center.,,Nutrition Health and Education Programs,60+ years,
Jacksonville Senior Center,501 Alexandria Rd SWJacksonville AL 36265,(256) 435-9199,Andrea Morris,amorris@jacksonville-al.org,https://jacksonvilleseniorcenter.weebly.com/,The Jacksonville Senior Center strives to help Seniors with their health and wellness and provide assistance with social and educational opportunities to enhance the quality of their lives.,,Center Meals; Home Delivered Meals; Transportation; Fellowship; Guest Speakers; Guest Performers; Crafts; Games; Bingo; Dominoes; Computers with Internet Access; Singing; Piano available to play; PACE; Other Exercise Class; Line Dancing Class; Walking Area (indoor and outdoor); Wii Game System; Reading Materials; Trips (day and overnight); Masters Games Practice (year round) Drum Circle; Farkel Tournaments; Computer Classes; Cell Phone Classes; Card Ministry; Recycled Card Makers; Blood Pressure Checks; Basketball shooting; Shuffleboard; Monthly Birthday; Parties; Fundraisers throughout year,55+ years,Mon - Fri: 8:00 am - 4:00 pm
Jasper Senior Activity Center,800 14th AveJasper AL 35501,(205) 221-8513,Carmen Key,NOMAIL,http://www.jaspercity.com,The Jasper Senior Activity Center is committed in enhancing the quality of life of senior adults 50+ in the community through social recreational health and wellness and educational programs. The JSAC offers a variety of educational programs and classes that include: art class ceramic class computer class dance class and seniorcize. Other activities include arts and crafts board games movies and more. The JSAC hosts a variety of monthly activities that include: healthy cooking class day trips and a monthly dance.,,Art Class; Ceramic Class; Computer Class; Dance Class; Seniorcize; Board Games; Movies; Healthy Cooking Class; Day Trips; Monthly Dance,50+ years,
Kennedy Senior Activity Center,112 Park StKennedy AL 35574,(205) 596-4073,Mary Long,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Killen Senior Center,227 J.C. Mauldin HwyKillen AL 35645,(256) 757-1792,Suzanne Peck,NOMAIL,http://www.killenal.org/,,,,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Ino Senior Center,6264 Hwy. 134Kinston AL 36453,(334) 565-9196,Christine Johnson,inosc@co.coffee.al.us,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Games; Cards; Ladies Breakfast; Monthly Birthday Party; Thanksgiving &amp; Christmas Covered Dish Luncheon,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Kinston Senior Center,104 Suzanne StKinston AL 36453,(334) 565-3349,Kayla Norris,toks@centurytel.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Board Games; Card Games; Public Education on Health; Fellowship; Exercise Equipment; Thanksgiving &amp; Christmas Dinner,60+ years,Mon - Fri: 9:30 am - 1:30 pm
LaFayette Senior Center,115 1st Street SWLaFayette AL 36862,(334) 864-0938,Alfredia Silmon,NOMAIL,"data-table",,,,,
Jane Farrar Senior Center,1302 Cherry DriveLanett AL 36863,(334) 644-6408,Tamara Hollis,NOMAIL,http://www.cityoflanett.com/,Senior Center provides meals games and activities for senior citizens.,,Meals; Games; Activities,,
Lawley Senior Activity Center,2971 Hwy. 36Lawley AL 36793,(334) 366-2414,Shelly Clark,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Leighton Senior Center,1955 1st StreetLeighton AL 35646,(256) 446-5985,Barbara Holley,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Lenox Senior Center,3057 Co Rd 7Lenox AL 36454,(251) 248-2223,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Lexington Senior Center,100 Ernie McGruire DriveLexington AL 35648,(256) 229-8810,Faye Springer,NOMAIL,http://www.lexingtonal.org,Come join our Senior Citizens at the Lexington Senior Center.,,Meals; Social Activities; Recreation; Transportation,60+ years,Mon - Fri: 8:30 am - 1:00 pm
Linden Senior Center,323 N Main StLinden AL 36748,(334) 295-4263,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Lineville Senior Center,371 Griffin AvenueLineville AL 36266,(256) 618-2215,Elaine Oliver,NOMAIL,https://www.cityoflinevilleal.com/,Our senior center is located at 371 Griffin Avenue,,,,
Lisman Senior Center,10012 Crowell DrLisman AL 36912,(205) 398-3842,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Livingston Senior Center,100 Northside VillageLivingston AL 35470,(205) 652-9464,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Locust Fork Senior Center,29829 St Hwy 79Locust Fork AL 35097,(205) 446-9543,,NOMAIL,https://www.locustfork.com/,,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Loxley Civic Center/Senior Program,4198 Municipal Park DriveLoxley AL 36551,(251) 964-4995,Beryl Allen,ballen@townofloxley.org,https://www.townofloxley.org/,We are proud that Loxley is a senior-friendly community offering many programs and services. We hope that you will explore these wonderful opportunities and discover what is available to you. The Loxley Seniors Services are located in the Civic Center. It is a vibrant place for Social Recreational and Outreach programs and services. We currently have about 120 members. Membership is $5.00 per person a year. Connect with us and be a part of it!,Membership is $5.00 per person a year.,Tuesday Morning Breakfasts; Art Classes; Senior Lunch Bunch; Senior Birthdays; Senior Trips; Senior Pot Luck; Free Exercise Program; Bingo; Craft Day; Senior Game Day; Ice Cream Socials,,Mon - Fri: 8:00 am - 4:30 pm
Luverne Multipurpose Senior Center,217 S. Forest AvenueLuverne AL 36049,(334) 335-6712,Anita West,NOMAIL,https://luverne.org/,The Luverne Nutrition Center currently serves 46 senior citizens and 16 home delivered meals. We are dedicated to providing a monthly program to promote better health by providing accurate and healthy nutrition physical fitness and heatlh information and instruction to participants and/or caregivers. We also provide opportunities for clients to participate in sports use exercise equipment performing arts games and crafts or enjoy these activities as a spectator.,,Nutrition; Physical Fitness; Heatlh Information and Instruction; Sports; Performing Arts; Games; Crafts,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Madison Senior Center,1282 Hughes RdMadison AL 35758,(256) 772-6242,Vickie Parker,vickie.parker@madisonal.gov,https://www.madisonal.gov/,The Center offers daily fellowship educational programs and recreational activities for senior adults ages 60 and over. The Center also offers lunch as well as a home-bound meal program. Transportation is available for those seniors residing in the city limits of Madison.,There is no fee to seniors.,Nutrition Program; Ceramics; Beginning line dancing; Advanced line dancing; Pool; Card games; Bridge; Bingo; Stitching groups; Computer classes; Exercise classes; Miscellaneous crafts; Water aerobics; Movies; Blood pressure checks; Spanish classes; Art Classes; Day Trips; Bunco; Blood Sugar Testing; Games; Zumba® Gold,60+ years,Mon - Fri: 8:00 am - 4:00 pm
Maplesville Senior Center,9499 AL Hwy 22Maplesville AL 36750,(334) 366-2717,Sandy Madsen,NOMAIL,http://www.townofmaplesville.com,The Maplesville Depot is the home of the Maplesville Senior Center which is located at 9499 AL Hwy 22 Maplesville AL. The senior citizens of Maplesville meet every Monday - Friday from 8:00 a.m. till 12:00 noon.,,,,Mon - Fri: 8:00 am - 12:00 pm
Marbury Senior Center,205 County Road 20 EastMarbury AL 36051,(205) 755-6487,Hazel Rawlinson,NOMAIL,http://www.autaugaco.org,The Department of Senior Services is located in the Governmental Building 218 North Court Street where we provide information and assistance for all senior citizens in the area. The Department encompasses four senior centers where seniors may enjoy a nutritional lunch Monday-Friday information on important senior topics socialization and many activities which will enrich the lives of seniors in the area.,,Nutritional Lunch; Information On Important Senior Topics; Socialization; Activities,60+ years,
Marion Senior Center,100 Lee StMarion AL 36756,(334) 683-6818,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
JCCEO Midfield Senior Nutrition Center,589 Bessemer Super HighwayMidfield AL 35228,(205) 201-7610,Geraldine Smith,NOMAIL,https://www.jcceo.org/,Our senior nutrition centers provide meals for seniors fellowship and activities and transportation as needed. The Older Americans Act was enacted in 1965 and is termed as the "Bill of Rights for Older Americans." The Act directs that special consideration be given to designating or developing multi-purpose senior centers as focal points. Jefferson County's Senior Gardens Program a part of the Older Americans Act came into being on March 22 1972. Services range from ioffered through local senior garden centers.,,Meals; Transportation; Information and Assistance; Legal Services; Recreation; Education; Health Screening; Wellness Programs,,
Midland City Senior Center,1338 Hinton Waters AvenueMidland City AL 36350,(334) 983-4121,Yolanda Everett,midcitysc@centurylink.net,"data-table",The purpose of our center is to give seniors a community companionship and to make their days more enjoyable.,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Music; Quilting; Group Singing; Bingo; Valentine Day Sweet Treats; St. Patrick's Green Party; Thanksgiving &amp; Christmas Pot Luck Meals,60+ years,Mon - Thurs: 7:30 am - 2:00 pm; Fri: 7:30 am - 1:00 pm
Midway Multipurpose Senior Center,166 Railroad StreetMidway AL 36053,(334) 529-3858,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
Millbrook Senior Center,3168 Park CircleMillbrook AL 36054,(334) 285-7616,,NOMAIL,http://www.caaofca.org/,Senior Programs are for seniors over the age of 62 or disabled individuals.,,Senior Activities; Meals; Home-Bound Meals; Recreational and Social Services,62+ years,Mon - Fri: 10:00 am - 2:00 pm
Millport Senior Activity Center,294 Old Kennedy RdMillport AL 35576,(205) 662-3819,Traci Sullivan,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Connie Hudson Mobile Regional Senior Community Center,3201 Hillcrest RoadMobile AL 36695,(251) 602-4963,Ashley Flowers,ashley.flowers@cityofmobile.org,http://www.cityofmobile.org,Our mission at the Connie Hudson Mobile Regional Senior Community Center is to provide the highest quality of recreational educational health and wellness programs for individuals 55 and older.,,Body Sculpting; Bible Study; Chair Fitness; Water Aerobics; Dominoes; Oil Painting; Pickle Ball; Circuit Training; Step Aerobics; Quilting; Chess; Zumba Gold; Chair Supported Yoga; Line Dancing; Step Aerobics; Crochet; Chess; Wii Bowling; Tai Chi; Bridge,55+ years,Mon - Fri: 8:00 am - 6:00 pm
Monroeville Senior Citizen Center,316 Vanity Fair DriveMonroeville AL 36460,(251) 575-1441,Becky Greene,mjackson@monroevilleal.gov,http://www.cityofmonroeville.com,Through funding from the Alabama Emergency Management Agency the City constructed the storm shelter in 2008. The facility also serves as a Senior Citizen Center. The City provides the Meals for the Elderly program at the Center and offers a weekly exercise program and daily recreational activities for seniors as well as providing meals. The Center is open Monday - Friday from 8 a.m. until 2 p.m. Anyone over the age of 60 or the spouse of anyone over 60 can apply to participate in the Meals for the Elderly program. Applications are available at the Center or by calling the Area Agency on Aging at 888-617-0500,,Meals for the Elderly Program; Weekly Exercise Program; Daily Recreational Activities,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Grady R. Parker Senior Center,434 Vine StreetMontevallo AL 35115,(205) 665-9206,Rose DeVinner,NOMAIL,https://www.cityofmontevallo.com/,Designed for adults 55 years and older the Grady Parker Senior Center offers a variety of programs and services to local seniors such as nutrition health exercise computer skills crafts and games. Handicap accessible transportation is offered on a daily basis to and from homes. Meals on Wheels provide our Senior Citizens of Montevallo who are homebound with delivery of hot nutritious meals. This service not only provides food but also a regular "check-in" by the meal driver.,,Nutrition; Cards and Games; Craft Class; Exercise Class; Computer Class; Wellness stations; Craft Class; Chair Yoga,55+ years,Mon - Fri: 9:00 am - 1:00 pm
Pea Ridge Senior Center,6161 Highway 10Montevallo AL 35115,(205) 665-3997,Mary Ross,NOMAIL,"data-table",,,,,
Antioch Senior Center,1250 Airbase BlvdMontgomery AL 36104,(334) 262-2288,,NOMAIL,"data-table",,,,,
Archibald Senior Center,115 E Jefferson StMontgomery AL 36104,(334) 240-6767,Pam Goodwin,pjgoodwin@macoa.org,https://www.macoa.org/,The Archibald Center provides a focal point in downtown Montgomery for active senior citizens to meet socialize relax and have fun in a beautiful newly renovated building. Activities include educational programs theme luncheons and recreational activities.,Membership fees are $36 per person per calendar year and $54 per couple payable in January. Fees are prorated throughout the year.,Computer Group; Arts; Crafts; Painting; Coloring; Bingo; Cards; Checkers; Dominoes; Library; Line Dancing; Loom Group; Luncheon; Movie Day; Stretch and Flex; Trips; Quilting,55+ years,
Caring Hands Senior Center,3388 South Hull StMontgomery AL 36105,(334) 263-0041,,NOMAIL,http://www.sscocmontgomery.org/,This ministry is designed to meet the physical emotional personal and spiritual needs of senior members as well as members of our community; it also strives to provide them with fulfilling outlets and fellowship with other seniors at our Caring Hands Senior Center,,,60+ years,
Crump Senior Center,1750 Congressman Dickinson DrMontgomery AL 36109,(334) 625-4547,,NOMAIL,http://www.funinmontgomery.com,A fully accessible center offering programs designed specifically for Senior Adults the Crump Senior Center is centrally located and easy to get to from throughout the city. A variety of rooms are configured for exercise classes table games tax assistance special events and other activities. There is also a fitness area computer lab music room auditorium with a stage and a garden which complements a daily lunch program for participants. The center is available for community meetings and rentals.,,Exercise Classes; Table Games; Tax Assistance; Special Events; Fitness Area; Computer Lab; Music Room; Daily Lunch Program for Participants,,Mon Tues Thurs Fri: 8:00 am - 9:00 pm; Wed: 8:00 am - 5:00 pm
Freewill Senior Center,1724 Hill StreetMontgomery AL 36104,(334) 262-2294,,NOMAIL,http://freewillbaptistchurch.org/,In this partnership of the church and the Montgomery Area Council on Aging senior citizens are provided daily nutritional meals devotional time weekly fitness and field trips just to name a few activities. All seniors are welcome and encouraged to come out and be apart.,,Daily Nutritional Meals; Devotional Time; Weekly Fitness; Field Trips,,
MACOA East Location,5 Bell RoadMontgomery AL 36117,(334) 354-3935,Alice McMullan,NOMAIL,https://www.macoa.org/,Additional Seniors gather monthly at our MACOA East location at Grace Presbyterian Church - open Tuesday &amp; Thursdays - to play cards socialize and have lunch together! Come on by!,Membership is open to seniors age 55 and over. Membership fees are $36.00 per calendar year for singles and $54.00 for couples. Fees are prorated throughout the year.,Dominoes; Bridge; Pennies; Lunch; Balance and Stretch,55+ years,Tues Thurs: 9:00 am - 3:00 pm
Pilgrim Rest Senior Center,1436 E Washington StMontgomery AL 36104,,,NOMAIL,"data-table",,,,,
St Paul Senior Center,706 E Patton AveMontgomery AL 36111,(334) 286-9778,,NOMAIL,http://003e232.netsolhost.com,,,,,Mon - Fri: 10:00 am - 1:00 pm
True Divine Senior Center,4601 Troy HighwayMontgomery AL 36116,(334) 286-4008,,NOMAIL,http://www.truedivinebaptistchurch.org/,Four days a week TDCD in partnership with the Central Alabama Aging Consortium provides hot nutritious meals social mental physical activities movie day community based senior outings devotions and more to senior’s ages 60+ years old.,,Hot Nutritious Meals; Social Mental Physical Activities; Movie Day; Community Based Senior Outings; Devotions,60+ years,
Moody Senior Center,670 Park AvenueMoody AL 35004,(205) 640-2536,Addie Duke,aduke@moodyalabama.gov,https://www.moodyalabama.gov/,Moody Senior Center provides fellowship activities and nutrition for our aging community for citizens over sixty. The Center provides a safe haven for our seniors to come and congregate and put all worries aside. Their network of friendship puts independence and meaning back into their lives through programs nutrition and education. The Senior Center also offers daily meals for the home bound Citizens in Moody (Meals on Wheels). The service must be approved by the Middle Alabama Area for Aging.,,Meals on Wheels; Transportation; Field Trips; Annual Bus Trips; Crafts; Wii Bowling Games; Bible Study; Checkers; Games; Bingo; Parties; Scrabble; Line Dancing,60+ years,Mon - Thurs: 9:00 am - 1:00 pm
Moundville Senior Activity Center,39750 Hwy 69 SouthMoundville AL 35474,(205) 371-6318,Mary Donner,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Munford Senior Center,115 Lions RoadMunford AL 36268,(256) 358-6437,Judy Moon,NOMAIL,"data-table",,,,,
East Colbert Senior Center,5929 River RoadMuscle Shoals AL 35661,(256) 446-5327,Edith Anderson,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 9:00 am - 1:00 pm
